familia,nombre,precio,descripcion,alergenos,activo,agotado,orden
Entrantes Fríos,Jamón ibérico de bellota,18.50,Corte fino acompañado de pan cristal y tomate rallado.,GLU,true,false,1
Entrantes Fríos,Queso manchego curado,9.50,Tabla de queso manchego D.O. con aceite virgen extra.,LAC,true,false,2
Entrantes Fríos,Boquerones en vinagre,8.00,Boquerones marinados en casa con ajo y perejil.,PES,true,false,3
Entrantes Fríos,Anchoas del Cantábrico,12.00,Lomos seleccionados servidos sobre tosta crujiente.,GLU;PES,true,false,4
Entrantes Fríos,Ensaladilla rusa,7.50,Receta cremosa con ventresca y encurtidos.,HUE;PES,true,false,5
Entrantes Calientes,Croquetas de jamón ibérico,8.50,Croquetas cremosas con bechamel suave y jamón de bellota.,GLU;LAC,true,false,1
Entrantes Calientes,Calamares a la romana,10.50,Aro de calamar rebozado y crujiente con limón.,GLU;PES,true,false,2
Entrantes Calientes,Gambas al ajillo,12.00,Gambas salteadas con ajo laminado y guindilla.,CRU,true,false,3
Entrantes Calientes,Pimientos de Padrón,6.50,Salteados con escamas de sal.,,true,false,4
Entrantes Calientes,Tortilla española,8.00,Jugosa y hecha al momento con patata confitada.,HUE,true,false,5
Tapas de la Casa,Patatas bravas,6.50,Dados de patata crujiente con salsa brava y alioli suave.,HUE,true,false,1
Tapas de la Casa,Pulpo a la gallega,14.00,Pulpo cocido con cachelos y pimentón de la Vera.,MOL,true,false,2
Tapas de la Casa,Mejillones a la marinera,9.00,Mejillones gallegos con salsa de tomate y vino blanco.,MOL;SUL,true,false,3
Tapas de la Casa,Almejas al vapor,13.00,Almeja fina con ajo perejil y un toque cítrico.,MOL,true,false,4
Tapas de la Casa,Berberechos,11.00,Berberechos al vapor con laurel y limón.,MOL,true,false,5
Carnes a la Brasa,Solomillo de ternera,22.00,Pieza premium marcada a la parrilla con patata panadera.,,true,false,1
Carnes a la Brasa,Secreto ibérico,18.00,Carne jugosa a la brasa con chimichurri suave.,,true,false,2
Carnes a la Brasa,Costillas de cerdo,16.00,Costillas lacadas con salsa barbacoa casera.,,true,false,3
Carnes a la Brasa,Pollo al chilindrón,14.00,Muslos deshuesados con salsa de pimientos y cebolla.,,true,false,4
Carnes a la Brasa,Hamburguesa artesana,14.50,Ternera madurada queso cheddar y pan brioche.,GLU,true,false,5
Pescados y Mariscos,Lubina a la sal,24.00,Lubina entera cocinada a la costra de sal.,PES,true,false,1
Pescados y Mariscos,Merluza en salsa verde,18.00,Lomo de merluza con almejas ajo y perejil.,PES,true,false,2
Pescados y Mariscos,Bacalao a la vizcaína,19.00,Lomo confitado con salsa tradicional de pimientos.,PES,true,false,3
Pescados y Mariscos,Gambas a la plancha,15.00,Gamba seleccionada con punto de sal.,CRU,true,false,4
Pescados y Mariscos,Pulpo a la brasa,16.00,Pulpo marcado en parrilla con parmentier ligera.,MOL,true,false,5
Arroces,Paella valenciana,16.00,Precio por persona mínimo 2 personas.,GLU,true,false,1
Arroces,Arroz negro,17.00,Con sepia alioli suave y fondo marino precio por persona.,MOL;CRU,true,false,2
Arroces,Arroz caldoso de mariscos,18.00,Meloso intenso y con producto del día precio por persona.,CRU;MOL,true,false,3
Postres,Tarta de queso al horno,6.50,Cremosa con coulis de frutos rojos.,LAC;HUE,true,false,1
Postres,Crema catalana,5.50,Con azúcar caramelizado al momento.,LAC;HUE,true,false,2
Postres,Brownie con helado,6.00,Brownie templado con helado de vainilla.,GLU;LAC;HUE;FSE,true,false,3
Postres,Fruta de temporada,4.00,Selección de fruta fresca cortada al momento.,,true,false,4
Postres,Helado artesano,5.00,Dos bolas a elegir según disponibilidad.,LAC,true,false,5
Cervezas,Caña,2.50,Cerveza de grifo bien tirada.,,true,false,1
Cervezas,Jarra,4.50,Jarra fría ideal para compartir.,,true,false,2
Cervezas,Botellín de tercio,3.50,Selección nacional servida muy fría.,,true,false,3
Cervezas,Cerveza sin gluten,3.50,Botella apta para intolerancia al gluten.,,true,false,4
Cervezas,Cerveza artesana del mes,4.00,Rotación mensual de cervezas locales.,,true,false,5
Vinos y Cavas,Copa de vino tinto de la casa,3.00,Tempranillo joven de fácil trago.,SUL,true,false,1
Vinos y Cavas,Botella Rioja Reserva,24.00,Notas especiadas y paso elegante.,SUL,true,false,2
Vinos y Cavas,Copa de vino blanco,3.00,Verdejo fresco y afrutado.,SUL,true,false,3
Vinos y Cavas,Cava Brut Nature,5.50,Burbuja fina ideal para aperitivo.,SUL,true,false,4
Vinos y Cavas,Vino rosado,3.00,Rosado seco con frutas rojas.,SUL,true,false,5
Bebidas,Agua mineral,2.00,Agua mineral natural fría.,,true,false,1
Bebidas,Refresco,2.50,Cola limón o naranja.,,true,false,2
Bebidas,Zumo natural,4.00,Zumo exprimido al momento.,,true,false,3
Bebidas,Café solo,1.80,Café espresso intenso.,,true,false,4
Bebidas,Café con leche,2.20,Espresso con leche cremosa.,LAC,true,false,5
